date,open,high,low,close,volume,dividend,split
2005-01-03,81.37,81.45,81.37,62.0,370200.0,0.0,1
2005-01-04,81.41,81.42,81.26,61.86,425300.0,0.0,1
2005-01-05,81.26,81.32,81.24,61.87,273500.0,0.0,1
2005-01-06,81.3,81.37,81.3,61.91,318800.0,0.0,1
2005-01-07,81.33,81.34,81.29,61.91,142500.0,0.0,1
2005-01-10,81.32,81.33,81.26,61.87,296100.0,0.0,1
2005-01-11,81.32,81.32,81.27,61.89,296000.0,0.0,1
2005-01-12,81.29,81.37,81.29,61.9,126400.0,0.0,1
2005-01-13,81.37,81.41,81.34,61.97,104500.0,0.0,1
2005-01-14,81.35,81.39,81.28,61.94,213100.0,0.0,1
2005-01-18,81.26,81.34,81.26,61.92,167000.0,0.0,1
2005-01-19,81.34,81.35,81.28,61.93,221700.0,0.0,1
2005-01-20,81.37,81.43,81.34,61.98,156500.0,0.0,1
2005-01-21,81.4,81.5,81.4,62.04,188000.0,0.0,1
2005-01-24,81.49,81.49,81.4,62.0,325700.0,0.0,1
2005-01-25,81.43,81.43,81.36,61.98,219300.0,0.0,1
2005-01-26,81.38,81.44,81.37,61.96,114100.0,0.0,1
2005-01-27,81.37,81.38,81.33,61.94,273700.0,0.0,1
2005-01-28,81.4,81.45,81.39,61.97,101400.0,0.0,1
2005-01-31,81.4,81.41,81.34,61.97,179500.0,0.0,1
2005-02-01,81.24,81.28,81.22,61.98,215200.0,0.0,1
2005-02-02,81.23,81.27,81.2,61.96,179400.0,0.0,1
2005-02-03,81.15,81.2,81.15,61.92,270600.0,0.0,1
2005-02-04,81.25,81.3,81.2,61.98,451400.0,0.0,1
2005-02-07,81.24,81.25,81.19,61.97,345800.0,0.0,1
2005-02-08,81.21,81.23,81.17,61.94,154400.0,0.0,1
2005-02-09,81.24,81.37,81.24,62.06,415000.0,0.0,1
2005-02-10,81.34,81.34,81.26,62.01,506600.0,0.0,1
2005-02-11,81.3,81.32,81.22,61.98,298600.0,0.0,1
2005-02-14,81.25,81.25,81.18,61.95,640800.0,0.0,1
2005-02-15,81.19,81.24,81.19,61.96,261000.0,0.0,1
2005-02-16,81.22,81.26,81.14,61.93,163100.0,0.0,1
2005-02-17,81.18,81.23,81.15,61.96,443800.0,0.0,1
2005-02-18,81.17,81.19,81.1,61.88,199100.0,0.0,1
2005-02-22,81.11,81.17,81.11,61.9,177600.0,0.0,1
2005-02-23,81.14,81.2,81.13,61.89,727500.0,0.0,1
2005-02-24,81.13,81.17,81.08,61.88,223400.0,0.0,1
2005-02-25,81.11,81.11,81.05,61.84,595100.0,0.0,1
2005-02-28,81.06,81.08,80.95,61.81,502900.0,0.0,1
2005-03-01,80.9,80.91,80.82,61.79,265100.0,0.0,1
2005-03-02,80.88,80.93,80.84,61.83,390100.0,0.0,1
2005-03-03,80.93,80.95,80.87,61.85,1341100.0,0.0,1
2005-03-04,80.98,80.98,80.91,61.85,438000.0,0.0,1
2005-03-07,80.9,80.95,80.88,61.83,429300.0,0.0,1
2005-03-08,80.88,80.89,80.82,61.83,242400.0,0.0,1
2005-03-09,80.82,80.9,80.82,61.81,376400.0,0.0,1
2005-03-10,80.87,80.87,80.79,61.76,236900.0,0.0,1
2005-03-11,80.83,80.83,80.74,61.75,758700.0,0.0,1
2005-03-14,80.78,80.78,80.72,61.72,214900.0,0.0,1
2005-03-15,80.76,80.79,80.72,61.7,258900.0,0.0,1
2005-03-16,80.82,80.88,80.78,61.78,376100.0,0.0,1
2005-03-17,80.88,80.9,80.82,61.8,224400.0,0.0,1
2005-03-18,80.85,80.85,80.8,61.77,111200.0,0.0,1
2005-03-21,80.81,80.86,80.79,61.81,1622400.0,0.0,1
2005-03-22,80.87,80.92,80.68,61.7,1623900.0,0.0,1
2005-03-23,80.66,80.72,80.62,61.69,216000.0,0.0,1
2005-03-24,80.71,80.76,80.67,61.71,270500.0,0.0,1
2005-03-28,80.69,80.71,80.65,61.68,865700.0,0.0,1
2005-03-29,80.68,80.75,80.68,61.72,263600.0,0.0,1
2005-03-30,80.71,80.78,80.71,61.73,168300.0,0.0,1
2005-03-31,80.8,80.87,80.79,61.82,189200.0,0.0,1
2005-04-01,80.73,80.77,80.65,61.85,779200.0,0.0,1
2005-04-04,80.72,80.78,80.7,61.85,543700.0,0.0,1
2005-04-05,80.77,80.78,80.71,61.87,134500.0,0.0,1
2005-04-06,80.78,80.83,80.77,61.92,175200.0,0.0,1
2005-04-07,80.84,80.86,80.77,61.89,294200.0,0.0,1
2005-04-08,80.73,80.78,80.72,61.89,136900.0,0.0,1
2005-04-11,80.75,80.8,80.72,61.89,208000.0,0.0,1
2005-04-12,80.75,80.88,80.73,61.92,140300.0,0.0,1
2005-04-13,80.87,80.94,80.85,62.02,262800.0,0.0,1
2005-04-14,80.95,81.04,80.94,62.07,163100.0,0.0,1
2005-04-15,81.08,81.14,81.01,62.17,292000.0,0.0,1
2005-04-18,81.14,81.18,81.08,62.14,725600.0,0.0,1
2005-04-19,81.08,81.22,81.08,62.22,1463600.0,0.0,1
2005-04-20,81.1,81.2,81.07,62.19,496600.0,0.0,1
2005-04-21,81.11,81.14,81.01,62.08,200900.0,0.0,1
2005-04-22,81.12,81.12,81.03,62.1,141300.0,0.0,1
2005-04-25,81.07,81.07,81.03,62.12,315100.0,0.0,1
