date,open,high,low,close,volume,dividend,split
2005-01-03,88.18,88.84,88.16,52.35,1168000.0,0.0,1
2005-01-04,88.72,88.75,87.81,51.8,1935400.0,0.0,1
2005-01-05,87.99,88.55,87.94,52.07,1094100.0,0.0,1
2005-01-06,88.29,88.54,88.22,52.11,1057400.0,0.0,1
2005-01-07,88.76,88.87,88.35,52.23,738700.0,0.0,1
2005-01-10,88.64,88.72,88.47,52.31,379400.0,0.0,1
2005-01-11,88.9,89.28,88.74,52.62,844100.0,0.0,1
2005-01-12,88.87,89.44,88.8,52.69,722000.0,0.0,1
2005-01-13,89.75,90.18,89.73,53.19,1876700.0,0.0,1
2005-01-14,89.9,90.4,89.81,53.19,1043800.0,0.0,1
2005-01-18,89.8,90.49,89.73,53.37,1251600.0,0.0,1
2005-01-19,90.8,90.84,90.27,53.52,655800.0,0.0,1
2005-01-20,90.42,91.02,90.35,53.63,1064200.0,0.0,1
2005-01-21,90.6,91.05,90.52,53.68,606300.0,0.0,1
2005-01-24,91.09,91.5,91.0,53.91,561400.0,0.0,1
2005-01-25,91.36,91.4,90.51,53.41,1942200.0,0.0,1
2005-01-26,90.85,90.92,90.63,53.51,709800.0,0.0,1
2005-01-27,90.52,90.7,90.34,53.41,463900.0,0.0,1
2005-01-28,91.22,91.6,91.17,53.94,1128000.0,0.0,1
2005-01-31,91.33,91.75,91.29,54.1,1313900.0,0.0,1
2005-02-01,91.44,91.5,91.05,54.01,948200.0,0.0,1
2005-02-02,91.2,91.46,91.09,54.14,760300.0,0.0,1
2005-02-03,91.06,91.44,91.06,54.11,505800.0,0.0,1
2005-02-04,92.47,92.94,92.46,54.86,3483900.0,0.0,1
2005-02-07,92.74,93.42,92.7,55.27,1064600.0,0.0,1
2005-02-08,93.37,94.12,93.33,55.58,1383800.0,0.0,1
2005-02-09,93.44,94.24,93.38,55.73,2125800.0,0.0,1
2005-02-10,93.49,93.68,92.75,54.98,1240000.0,0.0,1
2005-02-11,92.46,92.98,92.4,54.94,1275200.0,0.0,1
2005-02-14,92.9,93.21,92.73,55.11,295000.0,0.0,1
2005-02-15,92.6,92.86,92.57,54.83,900200.0,0.0,1
2005-02-16,92.51,92.57,91.8,54.63,1189700.0,0.0,1
2005-02-17,91.76,92.14,91.6,54.28,1146400.0,0.0,1
2005-02-18,90.55,90.95,90.46,53.8,2655800.0,0.0,1
2005-02-22,90.63,90.75,90.4,53.56,914600.0,0.0,1
2005-02-23,91.14,91.17,90.43,53.74,1115000.0,0.0,1
2005-02-24,91.16,91.33,90.56,53.62,798500.0,0.0,1
2005-02-25,90.89,91.14,90.62,53.88,588800.0,0.0,1
2005-02-28,91.1,91.1,89.89,53.3,2797300.0,0.0,1
2005-03-01,89.54,89.86,89.45,53.28,1648500.0,0.0,1
2005-03-02,89.45,89.72,89.42,53.21,1139300.0,0.0,1
2005-03-03,89.62,89.8,89.45,53.18,1600600.0,0.0,1
2005-03-04,89.99,90.67,89.87,53.76,1567000.0,0.0,1
2005-03-07,90.85,90.99,90.75,53.97,889800.0,0.0,1
2005-03-08,90.13,90.27,89.94,53.46,680400.0,0.0,1
2005-03-09,89.18,89.4,88.44,52.59,2549600.0,0.0,1
2005-03-10,88.74,89.33,88.39,52.91,1357700.0,0.0,1
2005-03-11,88.65,88.87,88.4,52.52,1017900.0,0.0,1
2005-03-14,88.37,89.0,88.3,52.84,805000.0,0.0,1
2005-03-15,89.29,89.3,88.4,52.51,963900.0,0.0,1
2005-03-16,88.54,89.36,88.54,52.83,2097800.0,0.0,1
2005-03-17,89.35,89.58,89.12,53.0,1025300.0,0.0,1
2005-03-18,88.9,88.98,88.67,52.67,722700.0,0.0,1
2005-03-21,88.67,88.67,88.38,52.52,893100.0,0.0,1
2005-03-22,88.94,89.05,87.54,52.07,2544900.0,0.0,1
2005-03-23,87.53,88.16,87.53,52.32,1951700.0,0.0,1
2005-03-24,88.32,88.46,88.18,52.43,746800.0,0.0,1
2005-03-28,87.99,88.0,87.72,52.11,382200.0,0.0,1
2005-03-29,88.08,88.28,87.99,52.42,1135000.0,0.0,1
2005-03-30,88.2,88.75,88.16,52.68,1095600.0,0.0,1
2005-03-31,89.2,89.39,88.86,53.06,2410900.0,0.0,1
2005-04-01,89.53,89.66,88.5,53.24,2805300.0,0.0,1
2005-04-04,89.28,89.66,89.17,53.23,754800.0,0.0,1
2005-04-05,89.24,89.36,88.93,53.09,733300.0,0.0,1
2005-04-06,89.41,89.44,89.2,53.27,402800.0,0.0,1
2005-04-07,89.3,89.58,88.61,52.84,973000.0,0.0,1
2005-04-08,88.56,89.0,88.34,53.03,438600.0,0.0,1
2005-04-11,88.97,89.62,88.94,53.32,1460200.0,0.0,1
2005-04-12,89.23,90.4,89.12,53.81,1931500.0,0.0,1
2005-04-13,90.35,90.44,89.8,53.68,1001700.0,0.0,1
2005-04-14,90.08,90.12,89.66,53.6,1461800.0,0.0,1
2005-04-15,90.54,91.12,90.22,54.3,2807300.0,0.0,1
2005-04-18,91.37,91.39,90.94,54.26,3510800.0,0.0,1
2005-04-19,91.34,92.04,91.32,54.79,1733600.0,0.0,1
